"variable","SD"
"ggt","0.602878495404225"
"mch","2.1132922211614"
"rdw","0.0821807082346452"
"pltlt","0.271572211557141"
"rbc","0.464836013336685"
"hb","14.0403523835338"
"ast","0.335346946404384"
"wbc","0.281882734798043"
"alkp","0.316991764588829"
"baso_p","0.0257369331374114"
"tot_prot","5.06530752830907"
"hdl","0.421507412120182"
"ca","0.107919451542709"
"lympho_p","0.0888468730691815"
"alb","3.66602033658644"
"k","0.3461145081685"
"vitb12","0.530662868289336"
