"","hb","hct","rdw","mch","mchc","pltlt","rbc","wbc","neut_p","mono_p","lympho_p","baso_p","ferritin","glu","ca","cl","sodium","k","vitb12","folate","chol","trig","hdl","alb","alkp","tot_prot","ggt","ldh","uric_ac","alt","ast"
"lympho_p",-0.0369931322448486,-0.0164404563867404,-0.0163243468757296,-0.0725709498264251,-0.0741075018963305,-0.0408667689549444,0.0125770561878906,-0.336043711201389,-0.931397267077607,0.00882048617564785,1,0.0938673180699963,0.0263133711381667,-0.0473182277205886,0.076227378879957,0.0615031393458943,0.110754249057798,-0.0248746431764203,0.0467281105808132,-0.0377199525451267,0.00875169594861766,-0.0651219423851222,0.0316592928113263,0.0923033279450171,-0.0680707843173051,0.0816040228756518,0.0620303782561666,0.0930343531687952,-0.0251038322201637,0.100899383192781,0.0606527487538345
"baso_p",-0.0213319438604853,-0.0036223296265044,-0.0791210664902356,-0.0447229062114301,-0.0636668543235524,0.10718594834971,0.0102371079150717,-0.114921837176854,-0.188431116917862,0.122200708510343,0.0938673180699963,1,-0.0312044773475267,0.0104834040170772,-0.00672366439065544,-0.082907668887225,-0.0858458466196765,-0.0124012954031075,0.0345254943784856,0.164192581357029,0.0105419876556716,0.0473145711905392,0.00515262374359195,0.025651556169664,-0.0377329666354126,0.0486093578705945,0.018938488680651,-0.124900781445677,0.0148416109056793,0.0398915687455717,0.0486920335613445
"ferritin",0.416449675659854,0.375425807918521,-0.222772149674265,0.325462801992773,0.236323541289684,-0.189572733147895,0.194456458631278,0.0227896403345482,-0.0372467208084748,0.0220255716997985,0.0263133711381667,-0.0312044773475267,1,0.181421140721954,0.137300495952734,-0.0174855520483031,0.0949986238060589,0.101399396635853,0.0314872263677002,-0.109630264826457,0.0533234499270764,0.143368937290649,-0.179172564017978,0.240056883542371,0.0561687340127189,0.111864586168431,0.323633931516454,0.123758300035933,0.312757225004805,0.201182449965742,0.194270397636907
"glu",0.146196369431619,0.145879362826705,-0.0471087489078504,0.0102365902409655,0.0325188882113785,0.00909412700067669,0.137010579785722,0.117928068305768,0.040805266329832,-0.0121499892314664,-0.0473182277205886,0.0104834040170772,0.181421140721954,1,0.0786491419653847,-0.154967304111589,-0.0978421409926792,0.0436462056319417,0.0417053643856988,0.0773599400274117,-0.0268375697044379,0.241297100966192,-0.222794409552578,0.0435384930982815,0.0927430691620626,0.0993411239215578,0.212381611291928,-0.121234644971389,0.163065438878361,0.102539399169173,-0.00137389252321868
"ca",0.166042296291036,0.168486876483474,-0.0540409546390944,-0.0170591678714895,0.02763202259626,0.0601175112299551,0.173143560958293,0.0238207666263173,-0.0540496263468341,0.0218484805836512,0.076227378879957,-0.00672366439065544,0.137300495952734,0.0786491419653847,1,0.015970214836454,0.0785138667869592,0.111962059055599,-0.0224769765971813,-0.109275360836452,0.173933784020837,0.0826933789148159,0.0663345263234792,0.451612955943772,0.015347054323956,0.312018879466869,0.0621865694856954,0.139131937146942,0.106312333984438,-0.0506102117445608,0.0979489257354776
"cl",-0.135554066195292,-0.136278139233281,0.156131211885814,-0.0143747720122061,-0.0326977063735227,-0.160174937038853,-0.126279101328855,-0.089086177006043,0.0207418397382944,-0.187065133654074,0.0615031393458943,-0.082907668887225,-0.0174855520483031,-0.154967304111589,0.015970214836454,1,0.528291233823687,0.150847475232319,-0.170981178904354,-0.37666509291545,0.00618043769365736,-0.0452682297501975,-0.0391875398319144,-0.110484069809913,0.0152162058550155,-0.211208533684042,-0.116004636253435,0.362134627372084,-0.0892585072903313,-0.161404827675524,-0.0934961900306156
"sodium",0.00347601481259028,0.0286468463795996,0.148630358066066,-0.0107098362133938,-0.0754166283246711,-0.211437516073022,0.0110705793119625,-0.192185553443764,-0.0826236366585005,-0.0663440332613639,0.110754249057798,-0.0858458466196765,0.0949986238060589,-0.0978421409926792,0.0785138667869592,0.528291233823687,1,0.167388520152804,0.0143547442713745,-0.174236752273428,0.00816354510932334,-0.105591905975163,0.0331781463114072,0.0440492947772579,0.0679165650568089,-0.0499770491295125,0.0503485830271056,0.481755260322212,0.0676436036089933,0.0829660874043363,0.0218781198771397
"k",0.0785099836619467,0.0967869779529663,0.0790407729487869,0.0526741055986033,-0.0403724302462241,0.0144084458303866,0.042712393145323,-0.0238631050424751,0.00315125511313967,0.00351598520695557,-0.0248746431764203,-0.0124012954031075,0.101399396635853,0.0436462056319417,0.111962059055599,0.150847475232319,0.167388520152804,1,-0.0189621164737055,-0.0930063337374217,0.0601578153837078,0.027137905878881,-0.0338074127806518,0.0512396944101256,0.0654182091808785,-0.0172130468942616,0.0880348745200868,0.189885651801303,0.0865522148561902,0.0389683851617879,0.0311879886085161
"vitb12",0.001859074413756,0.0180717922324976,-0.0326642560415531,-0.0205001873153025,-0.0440796141128657,0.0192408630417584,0.0174105359105099,-0.0808972163686344,-0.0956924657626413,0.0862599737327604,0.0467281105808132,0.0345254943784856,0.0314872263677002,0.0417053643856988,-0.0224769765971813,-0.170981178904354,0.0143547442713745,-0.0189621164737055,1,0.336762878944931,-0.0494677908067198,-0.156982976312061,0.0969996286076419,0.00614601775817714,-0.0121435023252596,0.107093780963502,0.151040620405166,0.0101808409795463,-0.0201449374850817,0.249389385380485,0.16147009369848
"folate",0.0363309981688679,0.0527181249822288,-0.235483808235902,-0.00861296509080488,-0.0386156883216591,0.155082212026322,0.0453539449869665,0.0147465782377779,-0.0945001660593448,0.367796420826176,-0.0377199525451267,0.164192581357029,-0.109630264826457,0.0773599400274117,-0.109275360836452,-0.37666509291545,-0.174236752273428,-0.0930063337374217,0.336762878944931,1,-0.142544708735655,-0.0163878965772909,0.0542917871329475,-0.118558418668061,-0.104289035303604,0.0521872985688463,0.0945965692840929,-0.323560967043925,0.0225613251794058,0.351098965290343,0.236621225653634
