"","mch","rdw","pltlt","rbc","hb","wbc","baso_p","hdl","lympho_p"
"mch",1,-0.422736675544229,-0.175851886239849,-0.351097144144757,0.338651566296535,0.0398195757058504,-0.0447229062114301,0.0387324858457309,-0.0725709498264251
"rdw",-0.422736675544229,1,-0.0297293891218033,-0.0632109958823402,-0.365494401736308,-0.0236352292291988,-0.0791210664902356,0.00220862877189956,-0.0163243468757296
"pltlt",-0.175851886239849,-0.0297293891218033,1,-0.0129963437424954,-0.131663413350534,0.285697998618273,0.10718594834971,0.0320016670682891,-0.0408667689549444
"rbc",-0.351097144144757,-0.0632109958823402,-0.0129963437424954,1,0.756307510773179,0.0925687135183578,0.0102371079150717,-0.234877438247952,0.0125770561878906
"hb",0.338651566296535,-0.365494401736308,-0.131663413350534,0.756307510773179,1,0.12100263212004,-0.0213319438604853,-0.20872128265536,-0.0369931322448486
"wbc",0.0398195757058504,-0.0236352292291988,0.285697998618273,0.0925687135183578,0.12100263212004,1,-0.114921837176854,-0.162581056811319,-0.336043711201389
"baso_p",-0.0447229062114301,-0.0791210664902356,0.10718594834971,0.0102371079150717,-0.0213319438604853,-0.114921837176854,1,0.00515262374359195,0.0938673180699963
"hdl",0.0387324858457309,0.00220862877189956,0.0320016670682891,-0.234877438247952,-0.20872128265536,-0.162581056811319,0.00515262374359195,1,0.0316592928113263
"lympho_p",-0.0725709498264251,-0.0163243468757296,-0.0408667689549444,0.0125770561878906,-0.0369931322448486,-0.336043711201389,0.0938673180699963,0.0316592928113263,1
