"variable","mean"
"ca","2.34236264476165"
"cl","104.788042014543"
"k","4.15033665499596"
"mg","0.851438619854722"
"sodium","140.694586587665"
"p","1.19428923076923"
"ferritin","4.27650175398558"
"hb","138.008887691893"
"hct","0.409482089954215"
"iron","15.7580743334231"
"mch","30.3893078373283"
"mchc","336.838136277942"
"rbc","4.55172178831134"
"rdw","2.58573908422317"
"alb","41.6370105036359"
"alkp","4.29304336966726"
"alt","3.10078701027999"
"ast","3.12271116217871"
"ggt","3.11135260957075"
"ldh","5.51171273405448"
"tot_prot","71.8823054134123"
"uric_ac","305.462559655265"
"baso_p","0.069564036339787"
"lympho_p","0.310822246162133"
"mono_p","0.0753294640452464"
"neut_p","0.578511984917856"
"wbc","1.81454534654881"
"trig","0.168048637761114"
"hdl","1.47749350659844"
"ldl","3.15773525451118"
"chol","5.25257301373552"
"chol_hdl","3.79402738910667"
"vitb12","5.84059720475609"
"folate","3.18910015968129"
"vita","0.999268880958408"
"g_toco","1.07097410626732"
"b_cryp","-1.8850038509915"
"a_carot","-5.06229803845434"
"vitd_tot","3.90677209923492"
